Name,Average Rating,Users
"staff at taco bell, samyan mitrtown mrt samyan branch",8,66
showroom boy showroom driver,8,67
lots of security personnel (regular guard),7,68
many senior security personnel (senior guard),7,69
security supervisor,8,70
security command center operator security officer (citi bank),7,71
recruitment supervisor,7,72
collection officer,5,73
recruitment officer (recruitment),8,74
procurement officer,7,75
electrical technician support,9,76
"data entry officer, coordinator, 1 year contract, work place, next to bang sue mrt",9,77
maintenance technician very urgent (by vending),8,78
drafting staff (architecture) khlong san district,10,79
head cook heathfield international school,6,80
"call center, event sale (contract) income 500  800 per day depending on each project.",7,81
"officer taking care of employee documents, contract for 4 months, income 15000, near mrt phetchaburi",7,82
"book salesperson, yaakz shop, seacon square srinakarin branch",8,83
"delivery driver distribution center ramintra km.8 branch, soi khubon 22",10,84
"salesperson (pc) lotus tha thong, phitsanulok",6,85
production support staff,5,86
hr staff,7,87
quality assurance officer (warranty officer),7,88
interior foreman,7,89
account payable supervisor (mrt rama9),5,90
"data specialist  data management officer income 15,000  18,000 1 year contract",7,91
salesperson for motorbike unit (pre order) ramintra km.8 branch,9,92
"delivery driver at the distribution center, taling chan branch, soi suan phak 50, very urgent",9,93
admin provides customer information through social channels.,6,94
automated tester (work from anywhere),9,95
"site measurement staff at bangna, bangyai and rama 2 branches",6,96
coordinator (coordinator) ikea bangna branch,7,97
account stationed in bangkok.,3,98
fixed account in bangkok,7,99
software developer,7,100
bangkok sales representative (sale),9,101
legal officer and debt collection officer,7,102
finance department manager,7,103
customer relations officer and telesales,9,104
delivery driver,8,105
medical record officer,8,106
optometrist,7,107
medical record staff (card scan),8,108
assistant manager of accounting department (collection and accelerating debt),6,109
accountant,7,110
medical assistant,7,111
eyeglass fitter,7,112
human resources officer,8,113
financial officer,7,114
cook,7,115
distance measuring officer,7,116
shifter,7,117
nurse anesthetist,7,118
maintenance technician branch wongsakorn 2,6,119
nursing assistant (pn) ipd,8,120
company car driver,6,121
surgery staff,6,122
call center,8,123
screening nurse,8,124
accountant  finance,8,125
apply for admin page admin answers to customers.,8,126
officers receiving appointments by telephone (call center),7,127
lean officer (suksawat 70 branch),6,128
counselor,8,129
statistician,7,130
surgery appointment nurse,6,131
business co,5,132
content creator & content writer,8,133
foreman (urgent),7,134
design engineer,8,135
administrative staff,8,136
technician,7,137
sales executive (rayong),8,138
purchasing officer,8,139
production staff,8,140
web design graphic design,6,141
urgent acceptance + salesperson by phone (telesale) (food supplements),5,142
call center (english skill),7,143
technician and chief technician,8,144
head unit,4,145
project manager (urgent),6,146
account,6,147
"electrical installation service technician, ratchada branch",9,148
pharmacist (pharmacis),8,149
building maintenance staff,7,150
"mechanic, technician",7,151
it specialist,6,152
telesales,7,153
coordinator,7,154
telesales supplement sales representative,6,155
sales & marketing (ae),7,156
telesale sales representatives via telephone (call center),7,157
personnel development officer,6,158
drug warehouse officer,7,159
foot health promoter (physiotherapy),7,160
assistant pharmacist,8,161
information officer,7,162
service relations officer (wrapel),8,163
professional nurse inpatient department (ipd),7,164
receptionist (theptarin dental center),8,165
registered nurse in outpatient department (opd),9,166
pharmacist,7,167
nurse educator,7,168
recruitment and hiring officer (senior),4,169
activities relations officer,4,170
manager of debt collection department (rama 3 branch),5,171
human resource senior officer (srinakarin branch 47),6,172
car loft service consultant (srinakarin branch),7,173
car loft technician (srinakarin branch),7,174
finance manager (kanchanaphisek branch),6,175
business development manager (rama3 branch),4,176
business development officer (rama3 branch),6,177
"sale toyota sure (kanchanaphisek branch, taling chan, ramintra, srinakarin, kaset)",9,178
car loft sales consultant (srinakarin branch),7,179
mazda go service consultant (on nutprawet branch),6,180
electric vehicle mechanic ev gwm (ramintra branch),5,181
parts officer gwm (ramintra branch),6,182
administrative officer contract insurance (agriculture branch),4,183
"it support (head office, ramintra km.9)",5,184
purchasing officer (rama 3 branch),5,185
business development manager,8,186
auto mechanic mazda go (srinakarin branch),5,187
parts officer at byd car center (taling chan branch),6,188
chief mechanic manda go (on nutprawet branch),5,189
consultant for mitsubishi body and paint service (saphan sung branch),6,190
toyota controller officer (agriculture branch),6,191
sales & marketing executive (rama 3 branch),6,192
driver (rama 3 branch),4,193
internal audit officer (ramintra km. 9 branch),7,194
"insurance division administrator, 1 year contract (bts kasetsart)",6,195
printer sales coordinator (there is a job teaching) #good income  very urgent #,8,196
sales coordinator and print media designer (there is a job teaching) #good income  very urgent #,8,197
parts officer mazda go (srinakarin branch),6,198
finance officer ar (rama 3 branch),7,199
accounting manager (rama 3 branch),6,200
customer receptionist (car pick up),6,201
car wash,7,202
administrative officer (finance),6,203
supervision engineer (site engineer),9,204
construction supervisor,7,205
cost estimator,8,206
architect,7,207
draftsman (residential house),8,208
sales architect,8,209
"daily worker (painter, carpenter, plasterer)",8,210
debt collection officer by phone at phetkasem branch (bang khae),0,211
actuary (management trainee),8,212
actuarial analyst  actuarial trainee (actuarial  actuary),9,213
actuarial job  actuarial manager (actuarial),9,214
administrative coordinator,8,215
enter numbers and data (quick),9,216
dev python ,8,217
r programmer or python programmer,7,218
company accountant,7,219
actuarial science intern,7,220
financial valuation intern (economics or financial engineering)),8,221
management associate  actuarial position (actuarial science),9,222
actuarial consultant (actuary),9,223
secretary and general coordinator,9,224
data coordination,9,225
marketing manager,7,226
actuary,7,227
it security project,7,228
administrative sales coordination and general document work,9,229
actuary (urgent),9,230
sales coordinator and billing,9,231
enter data and numbers (using excel as) urgently.,9,232
quickly enter numbers and data (using excel as),9,233
enter data and numbers (quick) (using excel as),9,234
internship in multimedia edit and write articles,8,235
actuary financial instrument line or finance account,7,236
financial advisor valuation,7,237
intern  admin/marketing business,9,238
intern in general documents,9,239
pricing actuary (experience 2 years),9,240
multimedia (photographer / editor / fan page banner making),9,241
tfrs17 & ifrs17 accounting or actuarial specialist,7,242
senior financial consultant (fair value valuation),7,243
business development executive (sales),7,244
receiving accountant,7,245
tfrs17 & ifrs17 accounting specialist,7,246
financial analyst (junior),7,247
"account manager (event,roadshow)",8,248
warehouse clerk,7,249
"project coordinator (event,roadshow)",7,250
training officer (product),6,251
data analysis,7,252
"assistant project manager (event,roadshow)",7,253
pay account officer,7,254
"supervisor event,roadshow",8,255
sales support coordinator,6,256
maintenance worker,7,257
"accountant, 4month contract, work place, wanit building, near mrt phetchaburi",7,258
true security officer (true 2 pattanakarn),6,259
architect and draftsman,8,260
personal financial advisor  wealth,8,261
guest service agent,7,262
security guard (true digital park),6,263
barista  gontran cherrier (singha building complex),7,264
information management department manager,6,265
sale project,8,266
"supply chain (supporting transport teams) 1 year contract, income 20,000 locations around rama 3",9,267
"safety officer, profession  safety officer",7,268
graphic and media officer,7,269
assistant manager at taco bell,7,270
data analysist very urgent,7,271
graphic design,7,272
lecture staff comic book,8,273
"warehouse staff (contract) income 15,000  20,000 work location near mrt bang sue",7,274
business intelligent developer,8,275
technician (khubon 50),6,276
admin,7,277
site/factory sales department 3 positions,9,278
technical support engineer,7,279
structural engineer project engineer (civil branch),9,280
receptionist (bts phloen chit),6,281
"drafting, work control, structurearchitecture",9,282
office sales department,9,283
"warehouse clerk working in a warehouse, soi ladprao 80",8,284
get urgent senior accountant 35k  central rama 3 (logistics business)),6,285
"staff at taco bell, mercury ville chidlom branch, bts chidlom",8,286
sales support staff,7,287
"apply for a medical assistant, beauty therapist, beauty clinic, siam branch",7,288
beauty consultant sales beauty consultant 1 position,7,289
"beauty therapist, medical assistant, beauty clinic, siam branch, 3 positions",7,290
chinese administrator reception le lis clinic siam square one (next to bts siam),6,291
"receptionist, le lis beauty clinic, siam branch",6,292
senior recruiter (recruitment) office rama 3,7,293
hr manager at rama 3 office,6,294
hr recruiter (recruitment officer),7,295
digital news media & video content creator,7,296
junior business development officer,6,297
administrative staff and sales coordinator,6,298
"admin social media & facebook ads , marketing online, offline",7,299
sale support (modern trade),6,300
sales leader market survey,6,301
executive assistant data analysis (personal assistant),8,302
"admin, modern trade sales department",8,303
sales admin operation,9,304
"sales tt (finished goods notebooks, premium products, souvenirs,)",8,305
senior recruitment officer (senior recruitment),6,306
assistant editor pocket book (urgent),8,307
online marketing officer (urgent),7,308
stock account,7,309
accounting supervisor,7,310
"accounting manager, head of accounting department",8,311
"sale supervisor (modern trade , key account)",9,312
sale print sales (urgent),9,313
accounts receivable quick,8,314
"marketing online, offline",8,315
senior hr recruitment,8,316
secretary department manager assistant department manager,8,317
superviser (interior supervisor),10,318
social media marketing,7,319
patrol officer,7,320
admin online,7,321
assistant head of production,6,322
sales coordinator,7,323
salesperson and market survey (bangkok),9,324
senior supervisor (interior supervisor),9,325
site administrator,8,326
"price estimator (estimator, quantity surveyor)",9,327
pc product introduction staff ais shop big c wong sawang,7,328
sales and customer service staff ais shop big c wong sawang,7,329
head of warehouse and delivery,9,330
sales coordinate (admin chat) : sales coordinator 2 positions,8,331
debt collection officer on the field (work 6 days a week) total base 18k19k excluding computer,6,332
store sales representative (wongwian yai branch),7,333
debt collection officer by phone (working 6 days a week) 2 positions,7,334
credit analyst (working 6 days a week) 1 new graduate is welcome.,8,335
accountant administrative officer (very urgent) 1 position,8,336
ar accountant,7,337
site manager (interior design manager),9,338
project interior coordinator (interior work),9,339
accounts payable officer,7,340
extension officer,7,341
site administrator (based in cambodia),6,342
autocad draftsman,8,343
finance officer (project work),9,344
6 wheel driver,7,345
professional safety officer,8,346
general mechanic,8,347
general staff,7,348
sales executive (automatic door technology),9,349
marketing online (closed on saturdays and sundays),9,350
"stock officer (mobile phone, sim card) at mbk center",7,351
installer,7,352
digital making (closed on saturdays and sundays),8,353
professional safety officer (professional safety officer),8,354
marketing executive (marketing officer),6,355
it : erp support,5,356
admin officer (accept only persons with disabilities),7,357
administrative staff (daily) working location rama 3,9,358
"sales consultant at mitsubishi rma showroom, rama 3 branch (near homepro rama 3)",8,359
backend developer staff,8,360
"administrative officer, sales department, ford rma, hua mak branch",7,361
"product recommendation staff yearly income 13,000+ commissions and others.",6,362
web programmer,8,363
"assistant manager of cafe amazon, fin food park branch (ratchaphruektaksin)",6,364
"sales consultant (sales) mitsubishi showroom, lumpini branch (next to mrt lumpini)",10,365
stock control officer,6,366
"sales consultant, ford rma showroom, hua mak branch (lamsalee intersection, near the mall bangkapi)",9,367
"senior accounting officer (ar) at the ford rma showroom, rama 4 branch, kluaynamthai intersection",5,368
"ford car salesperson, rama 4 branch (kluaynamthai intersection)",10,369
salesperson at ford showroom (kanlapaphruek branch),10,370
direct sales salesperson (contract),7,371
assistant cook,7,372
sales/marketing staff bangkok area,6,373
"accounting officer (gl) at the ford rma showroom, rama 4 branch, kluaynamthai intersection",4,374
"customer service (english communication) at ford, rama 4 branch, kluay nam thai intersection",7,375
"new car stock business at the new car storage center mitsu rma, intersection branch",7,376
"hr admin (450 baht per day, closed saturdaysunday) at the ford rma showroom, rama 4 branch.",7,377
"ford mechanic, rama 4 & 5 & kanlapaphruek branches",8,378
administrative finance employment contract 1 year income 15k18k workplace gateway bang sue,7,379
"sales manager mitsubishi rma car showroom, rama 3",6,380
foreman,7,381
"financial analyst at ford, rama 4 branch (kluay nam thai intersection) can communicate in english.",6,382
graphic,7,383
senior sales engineer  industrial iot & automation,5,384
account executive (project coordinator),6,385
direct sales  home loan,8,386
sales representative,6,387
"kfc trainee store manager in sa kaeo province, big c aranyaprathet branch",7,388
ie,8,389
biomedical engineer at paolo hospital phaholyothin,9,390
secretary and coordinator,8,391
"electrical technician support , sales 2 positions",9,392
limited number of financial product sales representatives in the branch,7,393
book salesperson at yaakz shop at major ratchayothin branch,8,394
autocad drafting officer (working in samut sakhon),8,395
"sales staff (ladkrabang industrial estate, bangkok)",6,396
sales  hand tools,8,397
employees pack products and sort products.,8,398
"cleaner (housekeeper) at slumber party, sukhumvit soi 1",6,399
administrative,7,400
debt collecting staff,9,401
salesperson,7,402
car salesman (sale) mercedesbenz urgent* 06456463998,9,403
credit analyst,8,404
foreman construction electrical,7,405
sales and marketing coordinator,7,406
online marketing,7,407
executive secretary (personal assistance),6,408
project coordinator,7.5,409
"salesperson, bookstore, yaakz shop, silom complex branch",9,410
"sales executive (laundry shop business), head office, thonglor soi 9",8,411
"sale (1 month contract) income 26k, work place, department store near bts",7,412
"receptionist (parttime) 1,000 baht per day",7,413
customer service representative,7,414
film producer,7,415
accounting intern,7,416
driver,7,417
finance & account manager,7,418
purchase,7,419
"salesperson at the bookstore yaakz shop, central pinklao branch.",8,420
warehouse staff (daily),8,421
lawyer (urgent),8,422
senior network engineer,7,423
sale executive,8,424
decorator,8,425
design and coordination manager,6,426
project manager,7,427
thai homeroom teacher,6,428
engineer (construction foreman),8,429
human resources and administrative officers,7,430
"apartment administration (ladprao, chokchai 4)",8,431
interior designer,7,432
receptionist (receptionist),8,433
purchasing officer (construction work),8,434
chief mechanic,7,435
customer relations,7,436
tiktok creator (shot+edited with capcut),8,437
parts room clerk,7,438
"ads optimizer, shooting ads and taking care of them (with commission)",6,439
mechanic,8,440
creative vdo editor edits video (consider only port attachments),7,441
system analyst,7,442
project management officer (pmo),8,443
product development manager,8,444
senior accountant,7,445
marketing executive,7,446
business development officer,5,447
pmo & corporate strategy,5,448
sale,7,449
sales consultant (tc smile),7,450
operation excellence (process improvement),6,451
iso officer,6,452
education consultant,6,453
executive driver (driver),7,454
digital marketing manager,7,455
finance officer,8,456
human resource business partner hrbp,7,457
account executive for idm (sales),7,458
ads optimization specialist,7,459
personal assistant (executive secretary),8,460
finance manager,6,461
foreign exchange officer (yaowarat branch),6,462
recruitment specialist (recruitmenthiring) at the head office,8,463
customer service officer (english speaking),6,464
production staff machine control,6,465
"accountant accountant (supervisor, asst.manager)",5,466
physician's assistant vertex clinic,7,467
driver (bangkok),8,468
electrician  electrical technicians,8,469
guidance teacher,7,470
mechanical and electrical engineer,7,471
operating accountant,6,472
jewelry designer,8,473
estimator (appraiser),6,474
project team,5,475
sales supervisor,8,476
quantity surveyor qs,6,477
it manager,7,478
document staff liaise with shipping,7,479
sale (freight forwarder),7,480
cs importexport,6,481
technical support(technician),7,482
junior frontend developer,8,483
npd cosmetics cosmetic research and development officer (bts srinakarin 38 branch),7,484
overseas purchasing officer china procurement china (bts srinakarin 38 branch),6,485
"urgently recruiting store social media staff at robinson bang rak, contact khun wu 0921310171.",6,486
repair,7,487
crocs salesperson at central world contact khun woo 0921310171,6,488
"loss prevention officer at central world, contact mr. wu 0921310171",9,489
"cashier, earning 15,500 baht at central world, contact khun wu 0921310171",8,490
"loss prevention officer regular at robinson bang rak, contact khun ou 0921310171",5,491
admin  purchasing,7,492
interior designer interior designer,8,493
"muji recruits sales staff. siam discovery, bts siam, contact khun woo 0921310171",6,494
"supersports salesperson, central world branch, contact khun wu 0921310171",6,495
"cashier at supersports, mbk mbk branch, contact khun woo 0921310171",6,496
"cashier b2s, central world branch, contact khun wu 0921310171",5,497
"customer service at power buy, central world branch, contact khun woo 0921310171",5,498
watts central world recruiting shop staff contact khun wu 0921310171,8,499
interior construction supervisor (froman),8,500
recruiting building technician at central world. contact khun wu 0921310171,6,501
"specail staff at powerbuy, robinson bang rak branch, contact khun u 0921310171",4,502
treatment staff at siam square branch urgently,7,503
beauty consultant with experience at siam square branch,9,504
sale admin sells surgery and skin. very good income.,9,505
accountant urgently 3 positions,7,506
photographer & designer,8,507
graphic designer (graphic design) vdo editor,7,508
"receptionist receptionist, siam branch, ladprao",8,509
it developer urgently ready to start work,8,510
surgical room nurse assistant,8,511
asst. human resources manager,7,512
personal administration officer,7,513
telesales telephone salesperson,10,514
quality control staff,8,515
.net programmer (c#),7,516
low code programmer (fresh graduate),9,517
salesforce developer (work from home),8,518
angular developer,7,519
application support,7,520
business analyst,7,521
content creator,7,522
"marketing officer srinakarin branch, contact p'am 0639738574",8,523
"urgent pick up ""pc"" saturday, sunday at the mega ratchada branch tel. 0639738574",8,524
online sales (admin replies to chat),10,525
air conditioner technician,7,526
"beverage shop staff (milk tea), yaakz cafe, victory mall branch victory monument",7,527
content marketing,7,528
human resources manager (manage salary and labor relations),7,529
finance support (1 year contract) salary 25k30k location bts chidlom,7,530
sales manager,7,531
overseas purchasing officer (chinese),8,532
ads optimizer,6,533
assistant product manager,6,534
repair supervisor (ford petchkasem 77),6,535
salesman  upcountry,7,536
account executive,7,537
ecommerce,7,538
fine arts,8,539
assistant to the division of japanese cartoons,9,540
network engineer,7,541
"head of human resources department, rama 4 branch",6,542
"waitress sakura restaurant (full time), central ladprao branch",9,543
assistant store manager kub khao kub pla terminal 21 branch (bts asok),7,544
sales person for wine cooler brand vintec at power buy central chidlom ( total income,4,545
business & data analyst  data analyst,7,546
corporate sales manager (bmw),8,547
system work,7,548
book salesperson at yaakz shop at central world branch,8,549
scanner dummy (comic book),7,550
mobile app developer,7,551
accounting / finance officer,9,552
office sales 3 positions,9,553
cover art,8,554
information staff (distribution center),9,555
"admin support (8 months contract) salary 29,000 location bts saladaeng",8,556
paint putter(isuzu petchkasem 69),6,557
used car sales consultant (petchkasem 77),6,558
lay out staff (comics),8,559
sales staff at the bookstore yaakz shop at espanas (ratchada) branch.,8,560
auto parts disassembly mechanic (isuzu petchkasem 69),7,561
merchandiser staff,5,562
"restaurant manager urgent, thongloremquartierladpraofuture park rangsit branch",8,563
design support & admin ( suan luang district ),9,564
get a product assembler srinakarin showroom tel. 0639738574,10,565
project coordinator (software business),9,566
interior designer  interior designer,9,567
personnel management officer,9,568
"kitchen staff in front of the stove, production department, central kitchen on nut kitchen 40",8,569
project (construction project supervisor),8,570
cooks and assistant cooks in thai and european kitchens emquartier branch,6,571
transport driver (refrigerator),8,572
bakery production staff on nut 40,9,573
graphic design officer,8,574
junior php programmer,9,575
project admin,8,576
"head chef, thai, european kitchen",7,577
payrollprogram officer bplus (working monsat) urgently,8,578
cooks and assistant cooks in thai and european kitchens at thonglor soi 11 branch urgently,7,579
admin marketing,8,580
customer service staff at the embassy branch,10,581
admin store urgent,9,582
admin personal assistant (personal secretary) suan luang district,9,583
"assistant thaieuropean cook, urgent, spell branch, future park rangsit",9,584
admin operation urgent,9,585
"supervisor, fast food restaurant, thonglor branch  emquartier  ladprao  future park rangsit",10,586
customer service customer relations urgently,9,587
"dishwasher central kitchen, production department, on nut 40 urgently",7,588
executive driver (urgent),9,589
customer service staff at siam center,9,590
cashier staff at embassy branch urgently,10,591
water bar  snack bar at siam center branch embassy branch,9,592
account executive (ae),7,593
it document control  it document control officer,6,594
"receptionist  physical therapy clinic, thonglor branch",6,595
spa receptionist  mahanakhon building branch (welcome new graduates),6,596
spa receptionist  ramintra 62 branch (welcome to welcome new graduates with accommodation),6,597
foreman supervises the renovation work,9,598
"health and beauty consultant (sales), central rama 3 branch",7,599
project purchasing officer,7,600
interior design,7,601
"accounting officer (ar,ap,gl)",7,602
executive assistant (central world),7,603
beauty consultant (sales) at central rama 2 branch,8,604
product development,7,605
therapist  treatment staff (regular at central world),5,606
supply chain manager,7,607
technical therapist,6,608
nurse at zen phuket branch,5,609
public relations and marketing department ( pr & marketing),8,610
"beauty consultant (at shop slim up, rama 2 branch)",8,611
human resource and organization development officer (hrd),7,612
business development (find rental space),7,613
officials ask for information offsite. (not a sales job),7,614
supervisor,7,615
watsons skincare and cosmetic sales cheerleaders,7,616
associated rooms (sa),9,617
payroll officer,6,618
legal manager,7,619
project administrative officer,7,620
engineer&facility manager,7,621
it support,7,622
physiotherapist slim up center,6,623
legal officer,8,624
customer service supervisor,6,625
nurse (located at central world),7,626
planning office,7,627
senior beauty equipment specialist,7,628
strategic management officer,7,629
purchasing officer (project and construction),7,630
investment consultant,8,631
nurse at central rama 3 branch,6,632
telephone public relations officer (telemarketing) is not a sales job.,7,633
nurse at central pinklao branch,5,634
nurse at central rattanathibet branch,7,635
medical technologist (based at central world),8,636
maintenance technician (lad pla khao office 32),7,637
"consultant (sales staff) slim up center, q house lumpini branch",9,638
center manager,8,639
technical (petchkasem 38),7,640
beauty therapist,7,641
senior accountant (latplakhao 32),5,642
warehouse clerk (ladplakhao 32),6,643
"java programmer, rama zone and bts",8,644
business analyst 6 month contract (renew contract),8,645
automate tester,8,646
cfo assistant,6,647
accountant (regular at central world),6,648
administrative officer (there is a type 3 handicapped card.),5,649
warehouse staff (petchkasem 38),6,650
java programmers,7,651
qa (tester),9,652
pl/sql developer,8,653
"software tester (mrt queen sirikit, bts chong nonsi)",9,654
software tester,7,655
java programmer [new graduate / junior / senior ],9,656
"admin it (chatuchak zone) male, able to start work immediately",8,657
ux/ui designer,8,658
call center (ekkamai bts zone) is not a sales event.,6,659
software engineer  mobile development,8,660
mobile application developer (ios / android),9,661
"software engineer  (.net, full stack)",9,662
back end developer php,7,663
full stack programmer (aacn),7,664
"system analyst or programmer (java, .net, plsql)",7,665
sales coordinator admin (contract),8,666
.net developer,7,667
"mobile developer android, ios, flutter",7,668
test lead,8,669
customer service staff (working in shifts),8,670
document administrator (mrt cultural center),8,671
it operation support (bts ploenchit),6,672
sales operation assistant support en ch th,5,673
recruitment specialist,8,674
telesale telesale express,7,675
course consultant,7,676
personal assistant (cla)  english,10,677
business development executive,7,678
training specialist (call center job),8,679
senior it specialist,8,680
apprentice human resources and administration department,8,681
programmer,7,682
customer service (cea),8,683
head of warehouse and delivery (on nut warehouse),6,684
condo finance officer,6,685
public relations officer chaengwattana branch,8,686
"public relations officer, udomsuk branch",8,687
"sales staff (heavy machine,wastewater system or any made to order sales ) t02477",7,688
"public relations officer, agricultural branch",8,689
public relations officer dental center wimut hospital,7,690
admin page admin page (cheryl brand) ladprao 94,8,691
"public relations officer, ramkhamhaeng branch",7,692
professional nurse,8,693
sales  (jlpt n3 up  factory automation)  t02539,7,694
senior sales coordinator jlpt n2 up (automobile parts) t02614,7,695
it service desk operator (jp speaker)  t02623,7,696
senior accountant (accounting company) t02411,7,697
chef assistant staff (japanese izakaya  bts promphong) t02419,7,698
senior accountant (accounting company) t02497,7,699
sales supervisor (machine product chemical product car parts) t02527,6,700
sales supervisor (technical) (machine product and chemical product for japanese,7,701
.it officer (japanese factory) t02437,7,702
machine design engineer(bts udomsuck) t02604,7,703
sales representative (material trading company) t02059,8,704
sales (machinery jlpt n3) t02368,7,705
microsoft 365 administrator (it company) t02624,6,706
sales manager (rental pallet and trading) t02635,6,707
sale support (jlpt n2up  logistics transportation) t0266,8,708
sales assistant (new graduate welcome  trading company) t02641,5,709
managerassistant manager siam branch,7,710
salespersoncashier,9,711
"managerassistant manager, robinson ladkrabang branch",7,712
"ba, espoir brand, central rama 2 branch",6,713
sales staff burmese t02632,6,714
"managerassistant manager, central rama 2 branch",7,715
"baca, robinson ratchaphruek branch",7,716
recruitment consultant (japanese speaking/ new graduate welcome) t9999,9,717
senior sales engineer (energy systems and solutions)t02108,7,718
"mechanical design engineer (fa, parts manufacturing)t02620",7,719
"managerassistant manager, future park rangsit branch",8,720
program officer scholarship to japant02587,7,721
baca central westgate branch,8,722
"baca, central rama 2 branch",8,723
baca icon siam branch,6,724
baca central pinklao branch,8,725
chef assistant staff (japanese izakaya )japanese restaurant chef assistant t02648,7,726
sales staff  (construction material) t02556,6,727
baca seacon bangkae branch,8,728
"managerassistant manager, central pinklao branch",7,729
replenisher,6,730
sales  (automotive parts) t02673,4,731
baca central village branch,7,732
demand planner,8,733
senior network engineer (operation)  shift work (it company) t02625,6,734
senior store design,5,735
operation audit,7,736
"manager of a cosmetic shop  accepting both bangkok zones, perimeters, upcountry",8,737
web developer (new graduate welcome) t02163,7,738
baca seacon square srinakarin branch,6,739
"ba, espoir brand, seacon square srinakarin branch",7,740
human resource development staff t02622,7,741
senior human resource specialist  (hiring process) t02629,7,742
merchandiser,8,743
store manager g tower rama 9 branch,7,744
managerassistant store manager,8,745
sales representative (it company) t02628,6,746
"ba, espoir brand, central rama 9 branch",6,747
parttime g tower rama 9 branch,8,748
"managerassistant manager, robinson ratchaphruek branch",7,749
support for corporate management team japanese speakingt02621,7,750
assistant merchandiser,6,751
"baca, central rama 9 branch",8,752
"baca, central ramintra branch",7,753
baca central world branch,7,754
manager+assistant branch manager central ramintra,7,755
"managerassistant manager, seacon bang khae branch",7,756
baca flagship branch (siam square soi 7),8,757
"managerassistant manager, central world branch",7,758
"managerassistant manager, central village branch",7,759
"managerassistant manager, seacon square srinakarin branch",7,760
managerassistant branch manager central westgate bangyai,8,761
"managerassistant manager, central salaya branch",8,762
"managerassistant manager, icon siam branch",7,763
baca central ladprao branch,7,764
"managerassistant manager, esplanade branch",7,765
"salesperson, central rama 9 branch, average income 16000 baht, excluding commission.",7,766
"managerassistant manager, robinson chachoengsao branch",7,767
managerassistant manager flagship branch (siam square soi 7),7,768
baca g tower rama 9 branch,7,769
"managerassistant manager, central rama 9 branch",7,770
"ba, espoir brand, central ladprao branch",7,771
"baca, central rama 3 branch",7,772
baca central salaya branch,9,773
"baca, robinson ladkrabang branch",7,774
"baca, siam center point branch",8,775
"ba, espoir brand, central westgate branch",7,776
"ba, espoir brand, central pinklao branch",7,777
"ba, espoir brand, siam square branch",6,778
manager+assistant branch manager central rama 3,7,779
"managerassistant manager, central ladprao branch",7,780
baca esplanade branch,7,781
"baca, siam square branch, chinese",7,782
"product sorting staff at top, mega bangna 1, mega bangna 2, seacon branches",6,783
"product sorting clerk at sena fest branch, icon siam, siam takashimaya, dear tummy",7,784
"merchandising staff at top, central world branch",7,785
"product sorting staff at top, chidlom branch",7,786
"merchandising staff at top, sukhumvit 41, sukhumvit 49, thonglor branches",6,787
"product sorting clerk themall, promenade branch, bangkapi, mrt lat phrao",7,788
"product sorting staff at foodland rama 3, patpong, silom",8,789
"product sorting staff, top department store, kasetsart branch, ramintra, plearnary",6,790
"product sorting staff run empire, silom complex, bangrak, mbk",7,791
"merchandising staff running lotus, sukhumvit 50 branch, fortune, rama 3, rama 4",8,792
merchandising staff at the mall ngamwongwan,6,793
